,Category,Title,Price,Product URL,Image URL,Saved Image,Description
TRUE,Clothing,Workout_Tank_Tops_Women_Sleeveless,,https://www.amazon.co.uk/Weardear-Workout-Sleeveless-Athletic-Racerback/dp/B0CQBZJGS3/ref=sr_1_76?dib=eyJ2IjoiMSJ9.PctS1mmVjDGe1B6nDt0lKQyiJztE6HLbRFqkBCM8Bki_xGhR1LjqMBPsWb1mHbFeqWaw5hiQ3prHL9nR5K6fNBG8E1Hx63Ch9WN9_w--SC9KsveW6p7Stib_XhLqTRrkz6uXUcYgB0YNp1aZFQTnZAA0jh-XJv6rrexo2ZSKfw-XyNZUNc1WBnk6fnuveU48lKYf___UPotGmsjP8usngqdvm2byLO2v8IK5LHVSoHy146gLUgklUm8TLEeSfkZ2mmik6aniB55soJ9oZXTmMW-6vuRnP2_tq0YuR3RntCo.3Pr_C39qqXq639qrSYU03RvJpAxMoK93HhL8dklWnzI&dib_tag=se&keywords=clothing&qid=1746266291&sr=8-76,https://m.media-amazon.com/images/I/61X4CZTbxwL._AC_SL1500_.jpg,product_images\Clothing\01_Workout_Tank_Tops_Women_Sleeveless.jpg,"Material: Weardear women's yoga tank top made of 100% polyester fiber, which is breathable, elastic, skin-friendly, anti-wrinkle, wear-resistant. It is not only moisture-wicking, but also keeps you fresh during exercise Design: This sleeveless racerback sports tank top offers a sleeveless design that reduces the restrictive feeling of clothing on you, making it easier for you to exercise. It looks sexy and cute. It lets the air flow and keeps you cool when you exercise Suitable for different body types: These yoga shirts with cross back design can cover excess flesh and make you look slimmer without restricting the body shape Classic racerback design offers you optimal freedom of movement and airy comfort. Versatile combination: The practical tank tops in different colors are simple and stylish and can be easily combined with shorts, T-shirts, skirts, jeans and other sportswear or casual wear. And classic colors to choose from, suitable for different scenes and moods Size: The size of S, M, L, XL, XXL are available. Please check the size chart in our pictures before ordering to make sure the clothes fit you better"
TRUE,Clothing,Vicloon_Poncho_Waterproof_Adult_Portable,£5.52,https://www.amazon.co.uk/Vicloon-Waterproof-Resistant-Emergency-Situations/dp/B0B51B9PT6/ref=sr_1_87?dib=eyJ2IjoiMSJ9.PctS1mmVjDGe1B6nDt0lKQyiJztE6HLbRFqkBCM8Bki_xGhR1LjqMBPsWb1mHbFeqWaw5hiQ3prHL9nR5K6fNBG8E1Hx63Ch9WN9_w--SC9KsveW6p7Stib_XhLqTRrkz6uXUcYgB0YNp1aZFQTnZAA0jh-XJv6rrexo2ZSKfw-XyNZUNc1WBnk6fnuveU48lKYf___UPotGmsjP8usngqdvm2byLO2v8IK5LHVSoHy146gLUgklUm8TLEeSfkZ2mmik6aniB55soJ9oZXTmMW-6vuRnP2_tq0YuR3RntCo.3Pr_C39qqXq639qrSYU03RvJpAxMoK93HhL8dklWnzI&dib_tag=se&keywords=clothing&qid=1746266291&sr=8-87,https://m.media-amazon.com/images/I/51uRkTDyE4L._AC_SL1000_.jpg,product_images\Clothing\02_Vicloon_Poncho_Waterproof_Adult_Portable.jpg,"[One Size Fit All] These EVA raincost are 145cm X 70cm fully extended ,Suitable for height 160cm-190cm.One size can fit most adults teens, man and women; [Portable and Compact] The size for rain poncho is 25*18*1.8cm ;Weight is only 145g; You could easy put it in your bag and backpack to saving your suitcase space; [Waterproof] This raincoat is designed with a drawstring could better coverage your head area, you can adjust it according to your needs. The waterproof large sleeves Keep you and your clothes dry； [Wide Application] Hooded rain poncho with sleeves. Designed for outdoor activities and emergency situations; it can be used as a mountaineering raincoat, mat or sunshade for hiking, picnics, fishing and other activities; [Excellent Service] - We devoted to provide our customers with satisfaction with our products and services. Any doubt before buying or during use, do not hesitate to contact us.We will find a proper solution for you."
TRUE,Clothing,AOTORR_Men_Fleece_Hoodie_Pullover,£19.99 with 20 percent savings,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTozODUxNzUwODkwMDA2NTk6MTc0NjI2NjI4ODpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNTQ3MzIyMTMzODMyOjoxOjo&url=%2FAOTORR-Hoodies-Sleeve-Sweatshirt-Pockets%2Fdp%2FB0B6C49MW7%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.211fd5ba-e944-4c4e-82e0-294cdbb418cf%253Aamzn1.sym.211fd5ba-e944-4c4e-82e0-294cdbb418cf%26cv_ct_cx%3Dclothing%26keywords%3Dclothing%26pd_rd_i%3DB0B6C49MW7%26pd_rd_r%3D11f6fe0b-c3c9-4ca7-9735-67d4c46f80b1%26pd_rd_w%3DaK6TH%26pd_rd_wg%3D20v13%26pf_rd_p%3D211fd5ba-e944-4c4e-82e0-294cdbb418cf%26pf_rd_r%3DGRTSRSAS6C9QKYK06D3C%26qid%3D1746266288%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-76163601-3bc5-4bd6-b454-ded14c50366a-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/71yPcB4zKWL._AC_SL1500_.jpg,product_images\Clothing\03_AOTORR_Men_Fleece_Hoodie_Pullover.jpg,"Material: 100% polyester; ultra-soft fabric, very comfortable to wear, good workmanship. Warm and easy-cleaning, the hoodie is ideal for autumn and winter Feature: Ribbed cuffs and hem; adjustable drawstring; contrast color design; plus light velvet, regular fit, with hood and pocket. Plain design, both classic and fashionable, you can easily match with this hoodie. Ideal for couples Occasion: The hoodie suit for any situation, fits very well with jeans, chinos, cargo trousers, sneakers. Perfect choice for daily wear, work, leisure, outdoor, holiday, hiking, sports, party Color & Size: Seven colors choices in size S/M/L/XL/XXL are available (model size M; model information-height: 6.16 ft, chest: 42.51 inch, waist: 35.04 inch). Different colors hoodie show different styles. It fits perfect and shows a good figure Warm Tips: Please check the size chart before purchasing; if you have any questions, we will be happy to help you"
TRUE,Clothing,Baby_Boy_Clothes_Toddler_Cute,£18.99,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0MTAyMTI3NDgyMTA3ODA0OjE3NDYyNjYyOTE6c3BfbXRmOjIwMDM0OTY0ODQzNTAzOjowOjo&url=%2FClothes-Toddler-Outfits-Sleeve-T-Shirt%2Fdp%2FB08DNRY9QY%2Fref%3Dsr_1_69_sspa%3Fdib%3DeyJ2IjoiMSJ9.PctS1mmVjDGe1B6nDt0lKQyiJztE6HLbRFqkBCM8Bki_xGhR1LjqMBPsWb1mHbFeqWaw5hiQ3prHL9nR5K6fNBG8E1Hx63Ch9WN9_w--SC9KsveW6p7Stib_XhLqTRrkz6uXUcYgB0YNp1aZFQTnZAA0jh-XJv6rrexo2ZSKfw-XyNZUNc1WBnk6fnuveU48lKYf___UPotGmsjP8usngqdvm2byLO2v8IK5LHVSoHy146gLUgklUm8TLEeSfkZ2mmik6aniB55soJ9oZXTmMW-6vuRnP2_tq0YuR3RntCo.3Pr_C39qqXq639qrSYU03RvJpAxMoK93HhL8dklWnzI%26dib_tag%3Dse%26keywords%3Dclothing%26qid%3D1746266291%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/613+DCUSbvL._AC_SL1000_.jpg,product_images\Clothing\04_Baby_Boy_Clothes_Toddler_Cute.jpg,"Material: Our baby clothes, long sleeves and trousers made of 100% cotton material, soft and light, bring the most comfortable experience to the baby, the jacket is made of 95% cotton, 5% polyester fiber material, Soft and comfortable, while reducing the baby's collision damage. Safety design: a protective design is added to the zipper at the top of the jacket to effectively avoid the frictional damage caused by the zipper to the baby's skin、 neck, etc. Fashionable and simple: the cute pattern on the jacket is simple and generous, and the front of the pants is printed with white light lines, which can become the most fashionable baby. Suitable for children: Toddler boy clothes，Children 1-5 years old can wear well, whether it is at school 、 at home 、or going out to play, it is a good choice, suitable for spring and autumn. Elasticity: The three-piece suit is soft, thin and elastic, and will not bring any discomfort to the baby's body."
TRUE,Clothing,Men_B_Button_Down_Shirt,,https://www.amazon.co.uk/ArknAv-Button-Jacket-Stylish-Jackets/dp/B0CJMHPG2P/ref=sr_1_46?dib=eyJ2IjoiMSJ9.yDCXboRBzJ2Sk36mPCNzg3hofwiJEhKBy6GxP0xCATpPIHS9IvYA_r56AKlOTW1-d-OrcqggCnc6PXGO33sf9yqnjksPkW_NlK_TNZaY8nB9-9IhvJVxVr4KWTTtX81KVmIAbLBhp-ZsBZs6aoSRy3InAbkXL318_DVApNwsducC9Yy93v8fvu4_OVARw5AqZmJixjdNrdt6TRRvIdKBvROj07_WMurucZFWkxc7UyGKu-ar0moq9vOjnQVTKwhSGUErSH9EiVWDg5HiEIVVUNzR4xVcf2NvjpXbWp26HqQ.N2yJk4RcGKEIxVgBiPyftV5B_HoRgRw4TGimnsiaIEc&dib_tag=se&keywords=clothing&qid=1746266288&sr=8-46,https://m.media-amazon.com/images/I/51dkDHY9TuL._AC_SL1052_.jpg,product_images\Clothing\05_Men_B_Button_Down_Shirt.jpg,"[Stylish Shirt Jackets 2023] - Stay cozy and chic with our trendy shirt collection. Effortlessly upgrade your style while welcoming the change of seasons. [Premium Fabric] - The material of the men's shirt jacket is a cotton blend, making it lightweight and breathable, perfect for warmer weather. [Fashion Design] - The casual jacket features lapel design, straight hem, solid color, button closure and two buttoned chest pockets with flap, which provides a much more casual look for more formal people. [Easy to Match] - This stylish plaid shirt jacket with buttons for men is perfect for pairing with jeans or casual pants and pairing with a vest or jacket in cold weather. Easily pair it with your favourite clothes to create a stylish and casual outfit. [Various Occasions] - The casual plaid shirt for men is suitable for everyday wear, work, club, holiday, party or weekend, all seasons and any occasion."
TRUE,Clothing,Pack_Womens_T_Shirt_Casual,£49.99,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo4NTgyOTYwNjYwODk4ODYwOjE3NDYyNjYyODg6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA1NDI4MjAwODgwMzI6OjI6Og&url=%2FWomens-T-Shirt-Casual-Cotton-Regular%2Fdp%2FB0F61TT51Q%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.ec57a43f-f3c0-4cdf-8a7e-0ad98c711c2f%253Aamzn1.sym.ec57a43f-f3c0-4cdf-8a7e-0ad98c711c2f%26cv_ct_cx%3Dclothing%26keywords%3Dclothing%26pd_rd_i%3DB0F61TT51Q%26pd_rd_r%3D3965d7fb-1a39-4365-84b6-f19c73b4c3ff%26pd_rd_w%3DBKNmR%26pd_rd_wg%3DfJVKa%26pf_rd_p%3Dec57a43f-f3c0-4cdf-8a7e-0ad98c711c2f%26pf_rd_r%3DGRTSRSAS6C9QKYK06D3C%26qid%3D1746266288%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-3b5b3493-51d7-4a29-900f-4d77b489bca4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1,https://m.media-amazon.com/images/I/61c3tp4c+qL._AC_SL1500_.jpg,product_images\Clothing\06_Pack_Womens_T_Shirt_Casual.jpg,"Versatile T Shirt: This crew neck t-shirts perfect for mixing and matching or wearing as comfortable basics. The versatile pack allows you to refresh your wardrobe with multiple colour options. Soft & Comfortable Fabric: Crafted from Cotton Blend, these t-shirts offer a soft and comfortable feel against your skin. The fabric provides a gentle stretch for ease of movement throughout the day. Design: crew neck, short sleeve, strechy fabric, round neck, solid color, loose fit, lightweight, comfy under shirts, casual style, suitable for spring, summer and fall. Occasion: Casual lounge t shirts, perfect for daily life/workout/travel/running/home/office/vacation/sport/gym/yoga/going out. A basic summer outfis tees that suitable for all occasions. Match:This womens short sleeve tees is easy to match with jeans, shorts, sweatpants, leggings, cago pants. Also can wear as a undershirt and match with casual coat or jacket. Creat a chic and stylish daily look."
TRUE,Clothing,Fashions_®_Men_Tracksuit_Sleeve,,https://www.amazon.co.uk/Love-My-Fashions-Contrast-Tracksuit/dp/B01MYBSARU/ref=sr_1_75?dib=eyJ2IjoiMSJ9.PctS1mmVjDGe1B6nDt0lKQyiJztE6HLbRFqkBCM8Bki_xGhR1LjqMBPsWb1mHbFeqWaw5hiQ3prHL9nR5K6fNBG8E1Hx63Ch9WN9_w--SC9KsveW6p7Stib_XhLqTRrkz6uXUcYgB0YNp1aZFQTnZAA0jh-XJv6rrexo2ZSKfw-XyNZUNc1WBnk6fnuveU48lKYf___UPotGmsjP8usngqdvm2byLO2v8IK5LHVSoHy146gLUgklUm8TLEeSfkZ2mmik6aniB55soJ9oZXTmMW-6vuRnP2_tq0YuR3RntCo.3Pr_C39qqXq639qrSYU03RvJpAxMoK93HhL8dklWnzI&dib_tag=se&keywords=clothing&qid=1746266291&sr=8-75,https://m.media-amazon.com/images/I/71btjvA3PtL._AC_SL1500_.jpg,product_images\Clothing\07_Fashions____Men_Tracksuit_Sleeve.jpg,"🟢 SIZE GUIDE & MATERIAL:- These jogging running sweatsuit are made of soft, stretchable cotton blend fabric (Mix Fabric 50% Cotton, 50% Polyester) which keeps you comfortable and warm, when you are wearing it. Available Sizes => S, M, L, XL, 2XL, 3XL, 4XL,5XL. 🟢 FEATURES:- Mens 2 piece athletic tracksuits long sleeve pullover hoodie with 2 front pockets, adjustable drawstring, trouser multi pockets, ribbed hem and cuffs, V-panel shaped design and Two-way zipper hood. 🟢 STYLE: - Mens lightweight sweatsuits sets with classic and stylish design, great for all seasons and can be worn for jogging or leisure all day long. You can pair the suits together or separately with t shirts and casual pants for a casual daily look. 🟢 OCCASIONS: - Men's track suit sets with casual and athletic style. Perfect for gym, workout, casual, sports, running, jogging, travel, street wear, home, hip hop, dance, Christmas, party and other casual or sporting occasions. 🟢 ATTENTION: - Please note that the pictures and colors of the products may slightly vary due to lighting effects in the studio. It is also recommended to refer to the size guidance provided to ensure a suitable fit and avoid any inconvenience during your shopping experience."
TRUE,Clothing,Naiyafly_Girl_Piece_Outfits_Kids,£14.99,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0MTAyMTI3NDgyMTA3ODA0OjE3NDYyNjYyOTE6c3BfYXRmX25leHQ6MzAwMTk5NDA0OTMzMjMyOjowOjo&url=%2FNaiyafly-Pullover-Sweatshirt-Butterfly-Christmas%2Fdp%2FB0CN6WMDKN%2Fref%3Dsr_1_52_sspa%3Fdib%3DeyJ2IjoiMSJ9.PctS1mmVjDGe1B6nDt0lKQyiJztE6HLbRFqkBCM8Bki_xGhR1LjqMBPsWb1mHbFeqWaw5hiQ3prHL9nR5K6fNBG8E1Hx63Ch9WN9_w--SC9KsveW6p7Stib_XhLqTRrkz6uXUcYgB0YNp1aZFQTnZAA0jh-XJv6rrexo2ZSKfw-XyNZUNc1WBnk6fnuveU48lKYf___UPotGmsjP8usngqdvm2byLO2v8IK5LHVSoHy146gLUgklUm8TLEeSfkZ2mmik6aniB55soJ9oZXTmMW-6vuRnP2_tq0YuR3RntCo.3Pr_C39qqXq639qrSYU03RvJpAxMoK93HhL8dklWnzI%26dib_tag%3Dse%26keywords%3Dclothing%26qid%3D1746266291%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/71AjhPXTqsL._AC_SL1500_.jpg,product_images\Clothing\08_Naiyafly_Girl_Piece_Outfits_Kids.jpg,"【Material Fabric】Cotton and Polyester, stretchy, soft, comfortable and skin friendly, made of high-quality soft fabrics. 【2 Piece Girls Dress Set Features】2 piece outfits features pullover sweatshirt crop top, and spaghetti straps cami dress.Casual shirt and bodycon dress set. 【Occasions】perfect for school, shopping, outgoing, weekend, vacation, trip, daily life, or any casual wear.Easy to pair with boots, shoes, sandals, slippers, sneakers, handbags, necklaces, sunglasses and more. 【Size】casual clothes for teen girls, girl skirt set, fits for girl dresses 7-14 years fall spring summer clothes outfit. 【Care】 hand or machine wash with cold water, do not bleach or tumble dry warm."
TRUE,Clothing,iClosam_Women_Tunic_T_Shirt,,https://www.amazon.co.uk/iClosam-Womens-Sleeve-Fitness-Workout/dp/B093B18LPZ/ref=sr_1_94?dib=eyJ2IjoiMSJ9.PctS1mmVjDGe1B6nDt0lKQyiJztE6HLbRFqkBCM8Bki_xGhR1LjqMBPsWb1mHbFeqWaw5hiQ3prHL9nR5K6fNBG8E1Hx63Ch9WN9_w--SC9KsveW6p7Stib_XhLqTRrkz6uXUcYgB0YNp1aZFQTnZAA0jh-XJv6rrexo2ZSKfw-XyNZUNc1WBnk6fnuveU48lKYf___UPotGmsjP8usngqdvm2byLO2v8IK5LHVSoHy146gLUgklUm8TLEeSfkZ2mmik6aniB55soJ9oZXTmMW-6vuRnP2_tq0YuR3RntCo.3Pr_C39qqXq639qrSYU03RvJpAxMoK93HhL8dklWnzI&dib_tag=se&keywords=clothing&qid=1746266291&sr=8-94,https://m.media-amazon.com/images/I/81CYoGdhUSL._AC_SL1500_.jpg,product_images\Clothing\09_iClosam_Women_Tunic_T_Shirt.jpg,"Ladies Gym Tops Material: 92% Polyester 8% Spandex. Lightweight, Breathable and Comfortable Fit. Ladies Yoga Tops Features: Short Sleeve/Crew Neck/Fast Dry Clothes/Moisture Wicking Shirts/Lines decoration in front,eye-catching flattering design ladies sports t shirts Perfect For Indoor and Outdoor - Provide you a good support Ideal for an everyday active lifestyle like Sports, Gym Exercise & Fitness, Yoga, Walking, jogging, Running, Cycling anywhere, anytime. Flattering shirt, works fine with jeans, yoga pants, shorts, leggings, sneakers. An essential shirt for ladies and juniors.Hand/machine wash, hand wash recommended(Max 35 ℃）Please refer to the size details picture on the left before you purchase. ♥❤【Size】 The size runs a littile Smaller, Please choose a large One. Please refer to the size details picture on the left before you purchase.【UK Size - S: 6-8 ; M :10-12; L : 14-16 ; XL : 16-18 ; XXL : 18-20】"
TRUE,Clothing,Disney_Stitch_Class_Graduation_Sweatshirt,£36.00,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0MTAyMTI3NDgyMTA3ODA0OjE3NDYyNjYyOTE6c3BfbXRmOjMwMDU0MjQ3NDA3ODQzMjo6MDo6&url=%2FDisney-Stitch-Class-Graduation-Sweatshirt%2Fdp%2FB08FPMQ4GX%2Fref%3Dsr_1_67_sspa%3Fdib%3DeyJ2IjoiMSJ9.PctS1mmVjDGe1B6nDt0lKQyiJztE6HLbRFqkBCM8Bki_xGhR1LjqMBPsWb1mHbFeqWaw5hiQ3prHL9nR5K6fNBG8E1Hx63Ch9WN9_w--SC9KsveW6p7Stib_XhLqTRrkz6uXUcYgB0YNp1aZFQTnZAA0jh-XJv6rrexo2ZSKfw-XyNZUNc1WBnk6fnuveU48lKYf___UPotGmsjP8usngqdvm2byLO2v8IK5LHVSoHy146gLUgklUm8TLEeSfkZ2mmik6aniB55soJ9oZXTmMW-6vuRnP2_tq0YuR3RntCo.3Pr_C39qqXq639qrSYU03RvJpAxMoK93HhL8dklWnzI%26dib_tag%3Dse%26keywords%3Dclothing%26qid%3D1746266291%26sr%3D8-67-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/A1mN82gBRyL._CLa%7C2140%2C2000%7CA1h7gnTmBaL.png%7C0%2C0%2C2140%2C2000%2B0.0%2C0.0%2C2140.0%2C2000.0_AC_SL1500_.png,product_images\Clothing\10_Disney_Stitch_Class_Graduation_Sweatshirt.jpg,"Official Disney Merchandise Disney Stitch Graduation 2020 T-Shirts for Women, Men, Boys, and Girls; Stitch 2020 T-Shirts; Disney Graduation T-Shirts; Stitch 2020 Sweatshirts 8.5 oz, Classic fit, Twill-taped neck"
